,date,variable,value
366,1985-11-30,added_ticker,PH
251,1986-02-28,added_ticker,ITW
212,1986-08-31,added_ticker,GPS
351,1986-08-31,added_ticker,JWN
318,1986-10-31,added_ticker,MDT
75,1986-11-30,added_ticker,HRB
433,1986-12-31,added_ticker,SYY
310,1987-08-31,added_ticker,MMC
63,1987-12-31,added_ticker,AVY
240,1988-03-31,added_ticker,HD
379,1988-04-30,added_ticker,PNC
116,1988-05-31,added_ticker,C
428,1988-05-31,added_ticker,STI
348,1988-11-30,added_ticker,NKE
170,1989-01-31,added_ticker,ECL
221,1989-04-30,added_ticker,GL
342,1989-04-30,added_ticker,NWL
363,1989-08-31,added_ticker,ORCL
59,1989-12-01,added_ticker,ADSK
306,1991-05-01,added_ticker,MRO
30,1991-09-19,added_ticker,AEE
40,1992-01-02,added_ticker,AMGN
297,1992-07-01,added_ticker,LIN
259,1992-10-01,added_ticker,IPG
136,1993-10-01,added_ticker,COST
115,1993-12-01,added_ticker,CSCO
167,1994-01-01,added_ticker,EMN
466,1994-03-01,added_ticker,UNM
278,1994-03-01,added_ticker,KEY
325,1994-06-01,added_ticker,MSFT
422,1994-07-01,added_ticker,LUV
461,1994-07-01,added_ticker,UNH
97,1994-09-01,added_ticker,CBS
324,1994-09-27,added_ticker,MU
80,1995-02-24,added_ticker,BSX
50,1995-03-16,added_ticker,AMAT
67,1995-03-31,added_ticker,BK
24,1995-07-13,added_ticker,ALL
126,1995-12-01,added_ticker,CMA
45,1996-04-23,added_ticker,AON
61,1997-01-02,added_ticker,AZO
6,1997-05-05,added_ticker,ADBE
91,1997-05-27,added_ticker,CAH
105,1997-06-02,added_ticker,SCHW
177,1997-06-19,added_ticker,EFX
47,1997-07-28,added_ticker,APA
384,1997-08-04,added_ticker,PGR
501,1997-10-06,added_ticker,YUM
69,1997-12-04,added_ticker,BBT
113,1997-12-18,added_ticker,CINF
89,1998-07-01,added_ticker,COF
401,1998-08-28,added_ticker,RF
9,1998-10-02,added_ticker,AES
93,1998-12-22,added_ticker,CCL
102,1999-03-25,added_ticker,CTL
21,1999-04-12,added_ticker,AGN
121,1999-05-03,added_ticker,CMS
11,1999-05-28,added_ticker,AFL
340,1999-06-25,added_ticker,NTAP
72,1999-06-29,added_ticker,BBY
478,1999-06-30,added_ticker,VMC
42,1999-10-12,added_ticker,ADI
499,1999-11-08,added_ticker,XLNX
118,1999-12-01,added_ticker,CTXS
12,2000-06-05,added_ticker,A
445,2000-06-21,added_ticker,TIF
149,2000-08-30,added_ticker,DVN
176,2000-11-02,added_ticker,EOG
935,2000-12-05,removed_ticker,GRA
718,2000-12-05,added_ticker,SBL
719,2000-12-05,added_ticker,AYE
261,2000-12-05,added_ticker,INTU
720,2000-12-05,added_ticker,ABK
934,2000-12-05,removed_ticker,OI
933,2000-12-05,removed_ticker,BS
936,2000-12-05,removed_ticker,CCK
404,2000-12-05,added_ticker,RHI
427,2000-12-12,added_ticker,SYK
114,2001-03-01,added_ticker,CTAS
199,2001-04-02,added_ticker,FISV
503,2001-06-22,added_ticker,ZION
502,2001-08-07,added_ticker,ZBH
38,2001-08-30,added_ticker,ABC
358,2001-11-30,added_ticker,NVDA
179,2001-12-03,added_ticker,EQR
417,2002-06-26,added_ticker,SPG
386,2002-07-22,added_ticker,PRU
223,2002-07-22,added_ticker,GS
382,2002-07-22,added_ticker,PFG
173,2002-07-22,added_ticker,EA
462,2002-07-22,added_ticker,UPS
44,2002-07-25,added_ticker,ANTM
451,2002-08-21,added_ticker,TRV
394,2002-12-12,added_ticker,DGX
48,2003-03-14,added_ticker,AIV
430,2003-03-25,added_ticker,SYMC
385,2003-07-17,added_ticker,PLD
716,2003-09-25,added_ticker,ESRX
932,2003-09-25,removed_ticker,QTRN
73,2003-11-13,added_ticker,BIIB
166,2004-03-31,added_ticker,ETFC
336,2004-04-23,added_ticker,MYL
220,2004-07-01,added_ticker,GILD
289,2004-11-01,added_ticker,LH
338,2005-03-14,added_ticker,NOV
931,2005-07-01,removed_ticker,GLK
715,2005-07-01,added_ticker,STZ
388,2005-08-19,added_ticker,PSA
37,2005-10-03,added_ticker,AMP
294,2005-10-04,added_ticker,LEN
28,2005-11-18,added_ticker,AMZN
181,2006-01-05,added_ticker,EL
471,2006-02-01,added_ticker,VRSN
79,2006-04-03,added_ticker,BXP
26,2006-04-03,added_ticker,GOOG
281,2006-04-04,added_ticker,KIM
120,2006-08-11,added_ticker,CME
99,2006-11-06,added_ticker,CELG
96,2006-11-10,added_ticker,CBRE
195,2006-11-10,added_ticker,FIS
123,2006-11-17,added_ticker,CTSH
