,date,variable,value
769,2017-06-19,removed_ticker,MJN
767,2017-06-19,removed_ticker,TDC
46,2017-07-26,added_ticker,AOS
322,2017-07-26,added_ticker,MGM
163,2017-07-26,added_ticker,DRE
761,2017-07-26,removed_ticker,RIG
762,2017-07-26,removed_ticker,BBBY
403,2017-07-26,added_ticker,RMD
763,2017-07-26,removed_ticker,MUR
764,2017-07-26,removed_ticker,MNK
765,2017-07-26,removed_ticker,RAI
547,2017-07-26,added_ticker,PKG
544,2017-08-07,added_ticker,BHF
760,2017-08-07,removed_ticker,
759,2017-08-08,removed_ticker,AN
543,2017-08-08,added_ticker,
758,2017-08-29,removed_ticker,WFM
265,2017-08-29,added_ticker,IQV
542,2017-08-29,added_ticker,Q
757,2017-09-01,removed_ticker,DD
411,2017-09-01,added_ticker,SBAC
756,2017-09-18,removed_ticker,SPLS
540,2017-09-18,added_ticker,CDNS
539,2017-10-13,added_ticker,NCLH
755,2017-10-13,removed_ticker,LVLT
754,2018-01-03,removed_ticker,BCR
247,2018-01-03,added_ticker,HII
537,2018-03-07,added_ticker,IPGP
753,2018-03-07,removed_ticker,SNI
339,2018-03-19,added_ticker,NKTR
429,2018-03-19,added_ticker,SIVB
534,2018-03-19,added_ticker,TTWO
751,2018-03-19,removed_ticker,PDCO
752,2018-03-19,removed_ticker,CHK
750,2018-03-19,removed_ticker,SIG
533,2018-04-04,added_ticker,MSCI
749,2018-04-04,removed_ticker,CSRA
532,2018-05-31,added_ticker,ABMD
748,2018-05-31,removed_ticker,WYN
531,2018-06-05,added_ticker,EVRG
747,2018-06-05,removed_ticker,NAVI
530,2018-06-07,added_ticker,TWTR
746,2018-06-07,removed_ticker,MON
238,2018-06-18,added_ticker,HFC
744,2018-06-18,removed_ticker,RRC
745,2018-06-18,removed_ticker,AYI
83,2018-06-18,added_ticker,BR
527,2018-06-20,added_ticker,FLT
743,2018-06-20,removed_ticker,TWX
526,2018-07-02,added_ticker,CPRT
742,2018-07-02,removed_ticker,DPS
525,2018-08-28,added_ticker,ANET
741,2018-08-28,removed_ticker,GGP
740,2018-09-14,removed_ticker,XL
524,2018-09-14,added_ticker,WCG
739,2018-10-01,removed_ticker,ANDV
406,2018-10-01,added_ticker,ROL
738,2018-10-11,removed_ticker,EVHC
522,2018-10-11,added_ticker,FTNT
279,2018-11-06,added_ticker,KEYS
737,2018-11-06,removed_ticker,CA
736,2018-11-13,removed_ticker,EQT
520,2018-11-13,added_ticker,JKHY
518,2018-12-03,added_ticker,MXIM
734,2018-12-03,removed_ticker,AET
733,2018-12-03,removed_ticker,COL
517,2018-12-03,added_ticker,LW
519,2018-12-03,added_ticker,FANG
735,2018-12-03,removed_ticker,SRCL
98,2018-12-24,added_ticker,CE
732,2018-12-24,removed_ticker,ESRX
198,2019-01-02,added_ticker,FRC
731,2019-01-02,removed_ticker,SCG
441,2019-01-18,added_ticker,TFX
730,2019-01-18,removed_ticker,PCG
729,2019-02-15,removed_ticker,NFX
57,2019-02-15,added_ticker,ATO
479,2019-02-27,added_ticker,WAB
728,2019-02-27,removed_ticker,GT
160,2019-04-01,added_ticker,DOW
727,2019-04-02,removed_ticker,BHF
511,2019-04-02,added_ticker,DOW
726,2019-06-03,removed_ticker,FLR
135,2019-06-03,added_ticker,CTVA
29,2019-06-07,added_ticker,AMCR
725,2019-06-07,removed_ticker,MAT
509,2019-06-07,added_ticker,BMS
724,2019-07-01,removed_ticker,LLL
308,2019-07-01,added_ticker,MKTX
723,2019-07-15,removed_ticker,RHT
507,2019-07-15,added_ticker,TMUS
506,2019-08-09,added_ticker,IEX
293,2019-08-09,added_ticker,LDOS
721,2019-08-09,removed_ticker,APC
722,2019-08-09,removed_ticker,FL
