tag,sequence
operatingrevenue,1
otherrevenue,2
totalrevenue,3
operatingcostofrevenue,4
othercostofrevenue,5
totalcostofrevenue,6
totalgrossprofit,7
sgaexpense,8
marketingexpense,9
rdexpense,10
explorationexpense,11
depreciationexpense,12
amortizationexpense,13
depletionexpense,14
otheroperatingexpenses,15
impairmentexpense,16
restructuringcharge,17
otherspecialcharges,18
totaloperatingexpenses,19
totaloperatingincome,20
totalinterestexpense,21
totalinterestincome,22
otherincome,23
totalotherincome,24
totalpretaxincome,25
incometaxexpense,26
othergains,27
netincomecontinuing,28
netincomediscontinued,29
extraordinaryincome,30
otheradjustmentstoconsolidatednetincome,31
netincome,32
preferreddividends,33
netincometononcontrollinginterest,34
otheradjustmentstonetincometocommon,35
netincometocommon,36
weightedavebasicsharesos,37
basiceps,38
dilutedeps,40
weightedavebasicdilutedsharesos,41
basicdilutedeps,42
cashdividendspershare,43
