tag,sequence
cashandequivalents,1
restrictedcash,2
fedfundssold,3
interestbearingdepositsatotherbanks,4
timedepositsplaced,5
loansandleases,7
allowanceforloanandleaselosses,8
netloansandleases,9
loansheldforsale,10
accruedinvestmentincome,11
customerandotherreceivables,12
netpremisesandequipment,13
mortgageservicingrights,14
deferredacquisitioncost,16
separateaccountbusinessassets,17
goodwill,18
intangibleassets,19
otherassets,20
totalassets,21
noninterestbearingdeposits,22
interestbearingdeposits,23
fedfundspurchased,24
shorttermdebt,25
bankersacceptances,26
accruedinterestpayable,27
othershorttermpayables,28
longtermdebt,29
capitalleaseobligations,30
claimsandclaimexpenses,31
futurepolicybenefits,32
policyholderfunds,34
participatingpolicyholderequity,35
separateaccountbusinessliabilities,36
otherlongtermliabilities,37
totalliabilities,38
commitmentsandcontingencies,39
redeemablenoncontrollinginterest,40
commonequity,42
retainedearnings,43
aoci,45
otherequity,46
totalcommonequity,47
totalequity,48
noncontrollinginterests,49
totalequityandnoncontrollinginterests,50
