id,date,open,high,low,close,volume,adj_open,adj_high,adj_low,adj_close,adj_volume,intraperiod,frequency,security_id
188528,1980-12-12,28.75,28.87,28.75,28.75,2093900,0.410073245766447,0.411784855835733,0.410073245766447,0.410073245766447,117258400,False,PriceFrequency.daily,1
188527,1980-12-15,27.38,27.38,27.25,27.25,785200,0.390532364142098,0.390532364142098,0.388678119900371,0.388678119900371,43971200,False,PriceFrequency.daily,1
188526,1980-12-16,25.37,25.37,25.25,25.25,472000,0.361862895481557,0.361862895481557,0.360151285412271,0.360151285412271,26432000,False,PriceFrequency.daily,1
188525,1980-12-17,25.87,26.0,25.87,25.87,385900,0.368994604103582,0.370848848345309,0.368994604103582,0.368994604103582,21610400,False,PriceFrequency.daily,1
188524,1980-12-18,26.63,26.75,26.63,26.63,327900,0.37983480120906,0.381546411278346,0.37983480120906,0.37983480120906,18362400,False,PriceFrequency.daily,1
188523,1980-12-19,28.25,28.38,28.25,28.25,217100,0.402941537144422,0.404795781386148,0.402941537144422,0.402941537144422,12157600,False,PriceFrequency.daily,1
188522,1980-12-22,29.63,29.75,29.63,29.63,166800,0.422625052941211,0.424336663010497,0.422625052941211,0.422625052941211,9340800,False,PriceFrequency.daily,1
188521,1980-12-23,30.88,31.0,30.88,30.88,209600,0.440454324496274,0.44216593456556,0.440454324496274,0.440454324496274,11737600,False,PriceFrequency.daily,1
188520,1980-12-24,32.5,32.63,32.5,32.5,214300,0.463561060431636,0.465415304673362,0.463561060431636,0.463561060431636,12000800,False,PriceFrequency.daily,1
188519,1980-12-26,35.5,35.62,35.5,35.5,248100,0.506351312163787,0.508062922233073,0.506351312163787,0.506351312163787,13893600,False,PriceFrequency.daily,1
188518,1980-12-29,36.0,36.13,36.0,36.0,415900,0.513483020785812,0.515337265027538,0.513483020785812,0.513483020785812,23290400,False,PriceFrequency.daily,1
188517,1980-12-30,35.25,35.25,35.12,35.12,307500,0.502785457852774,0.502785457852774,0.500931213611048,0.500931213611048,17220000,False,PriceFrequency.daily,1
188516,1980-12-31,34.25,34.25,34.13,34.13,159600,0.488522040608724,0.488522040608724,0.486810430539438,0.486810430539438,8937600,False,PriceFrequency.daily,1
188515,1981-01-02,34.5,34.75,34.5,34.5,96700,0.492087894919736,0.495653749230749,0.492087894919736,0.492087894919736,5415200,False,PriceFrequency.daily,1
188514,1981-01-05,33.87,33.87,33.75,33.75,159500,0.483101942055985,0.483101942055985,0.481390331986699,0.481390331986699,8932000,False,PriceFrequency.daily,1
188513,1981-01-06,32.37,32.37,32.25,32.25,201600,0.461706816189909,0.461706816189909,0.459995206120623,0.459995206120623,11289600,False,PriceFrequency.daily,1
188512,1981-01-07,31.0,31.0,30.88,30.88,248600,0.44216593456556,0.44216593456556,0.440454324496274,0.440454324496274,13921600,False,PriceFrequency.daily,1
188511,1981-01-08,30.37,30.37,30.25,30.25,177800,0.433179981701808,0.433179981701808,0.431468371632522,0.431468371632522,9956800,False,PriceFrequency.daily,1
188510,1981-01-09,31.88,32.0,31.88,31.88,96000,0.454717741740324,0.456429351809611,0.454717741740324,0.454717741740324,5376000,False,PriceFrequency.daily,1
188509,1981-01-12,31.88,31.88,31.62,31.62,105800,0.454717741740324,0.454717741740324,0.451009253256871,0.451009253256871,5924800,False,PriceFrequency.daily,1
188508,1981-01-13,30.63,30.63,30.5,30.5,102900,0.436888470185262,0.436888470185262,0.435034225943535,0.435034225943535,5762400,False,PriceFrequency.daily,1
188507,1981-01-14,30.63,30.75,30.63,30.63,63800,0.436888470185262,0.438600080254548,0.436888470185262,0.436888470185262,3572800,False,PriceFrequency.daily,1
188506,1981-01-15,31.25,31.5,31.25,31.25,62800,0.445731788876573,0.449297643187585,0.445731788876573,0.445731788876573,3516800,False,PriceFrequency.daily,1
